Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Curatorial,,Ms. Alexandra Courcoulas,,,45.491064,-73.578631,Canadian Centre for Architecture,Curatorial Intern,"MA, 2012"
Education,,Professor Nicola M. Courtright,,,42.37091,-72.517003,Amherst College,"William R. Kenan, Jr. Professor of the History of Art; Chair of European Studies","PhD, 1990"
,,Dr. Dario A. Covi,,,,,Part-Time Curator of Art Collection,Professor Emeritus,"PhD, 1958"
Non-profit Arts Administration,,Ms. Ann B. Craddock,,,40.746923,-73.940904,The Sculpture Center,Executive Director,"Certificate in Conservation, 1991"
Education,,Mr. Stephen Paul Crenshaw,,,41.843885,-71.434668,Providence College,Associate Professor,"PhD, 2000"
Curatorial,,Ms. Ivy Crewdson,,,40.749019,-74.004646,Barbara Gladstone Gallery,Curator,"BA, 1997"
For-profit Arts Professional,,Ms. Wendy M. Cromwell,,,,,"Cromwell Art, LLC",Art Advisor,"MA, 1990"
Conservation,,Ms. Dena Crosson,,,38.961569,-76.94097,Crosson Fine Art ,Owner/Accredited,"MA, 1986"
Non-profit Arts Administration,,Ms. Eszter Gabriella Csicsai,,,40.749687,-73.974661,American Council of Learned Societies,"Program Associate, African Humanities Program ","MA, 2009"
,,Dr. Slobodan Curcic,,,,, , ,
,,Professor Kathleen A. Curran,,,,,Trinity College,Associate Professor,
,,Ms. Elizabeth Mize Currie,,,,,Currie Capital LLC,Manager,"MA, 1980"
Other Occupations,,Ms. Michelle-Louise C. Da Re,,,,,Law Offices of DaRe & Gough,Owner/Attorney,"MA, 1993"
Conservation,,Ms. Kristi Anne Dahm,,,41.879584,-87.623713,Art Institute of Chicago,Assistant Conservator of Prints & Drawing,Certificate in Conservation
Curatorial,,Ms. Maria F. P. Saffiotti Dale,,,43.073836,-89.398635,"University of Wisconsin-Madison, Chazen Museum of Art","Curator of Paintings, Sculpture, & Decorative Arts",Certificate in Curatorial Studies
Conservation,,Ms. Rachel L. Danzing,,,40.671206,-73.963631,Brooklyn Museum,Associate Paper Conservator,Certificate in Conservation
Education,,Professor Benjamin David,,,45.452202,-122.677485,Lewis & Clark College,Associate Professor of Art History,PhD
Conservation,,Ms. Suzanne L. Davis,,,42.276714,-83.741381,Kelsey Museum of Archaeology,Curator (Head) of Conservation,Certificate in Conservation
For-profit Arts Professional,,Ms. Lacy Davisson-Doyle,,,40.774727,-73.980979,"Artview NYC, LLC",Founder,"MA '81, IFA (GSAS/Fine Arts)"
Education,,Dr. Kim T. de Beaumont,,,40.768,-73.964317,Hunter College CUNY,Adjunct Professor,PhD
,,Ms. Emily M. Dellheim,,,,, ,NYU Graduate Student,"BA '08, Gallatin (Individualized Major); MA '14, IFA (GSAS/History of Art and Archaeology)"
Education,,Dr. Don W. Denny,,,38.986918,-76.942554,University of Maryland,Professor Emeritus,"MA '61, IFA (GSAS/Fine Arts)"
