Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"NICHOLS, Charlotte F.",The Caracciolo di Vico Chapel in Naples and Early Cinqucento Architecture,Ph.D.,1988,"Brandt, Kathleen Weil-Garris",,Renaissance Art,Architecture,,
"PIERPONT, Claudia Roth",Giovanni da Nola and the Monument of Pedro de Toledo: A Study in Neapolitan Sixteenth Century Sculpture,Ph.D.,1988,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"DARR, Alan Phipps","Pietro Torrigiano and his Sculpture for the Henry VII Chapel, Westminster Abbey",Ph.D.,1980,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"ADAMS, Robert Nicholas",Baldassare Peruzzi: Architect to the Republic of Siena 1527-1535,Ph.D.,1977,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"FINOCCHIO, Ross","Henry Clay Frick: The Making of an American Collector, 1880-1905",Ph.D.,2013,"Jonathan, Brown",,Nineteenth- and Twentieth-Century Art,Collecting; Curatorial and Museum Studies,,
"SCHNEIDER, Lindsey",The Late Career of Pietro da Cortona and Roman Baroque Painting after 1650,Ph.D.,2013,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,Conservation of Works of Art and Artifacts
"GARDONIO-FOATE, Casey",Professional Women Artists of Iberia’s Golden Age: Careers in Context,Ph.D.,2012,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"LEAPER, Laura","Time, Memory and Ritual: deciphering visual rhetoric in Diego Valades’ Rhetorica Christiana",Ph.D.,2012,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"LEYVA-GUTIERREZ, Niria E.,",Painting Power: Images of Ecclesiastical Authority in Seventeenth-Century New Spain,Ph.D.,2012,"Jonathan, Brown",,Latin American Art,Seventeenth- and Eighteenth-Century Art,,
"BELL, Esther",Charles-Antoine Coypel: Painting and Performance in Eighteenth-Century France,Ph.D.,2011,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"BROWN, Michael","Portraiture in New Spain, 1600-1800: Painters, Patrons and Politics in Viceregal Mexico",Ph.D.,2011,"Jonathan, Brown",,Latin American Art,Seventeenth- and Eighteenth-Century Art,,
"HUCKINS, Pamela","Art in the Alta California Mission Churches, 1769-1834",Ph.D.,2011,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"DOLPHIN, Erika",Archbishop Francisco Jimenez de Cisneros and the Decoration of the Chapter Room and Mozarabic Chapel in Toledo Cathedral,Ph.D.,2008,"Jonathan, Brown",,Renaissance Art,,,
"BADIEE-BANTA, Andaleeb",Bernardo Strozzi: Defining an Artistic Identity in Early Seventeenth-Century Genoa,Ph.D.,2007,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"DUFFY-ZEBALLOS, Lisa",Murillo's Devotional Paintings and the Late Baroque Culture of Prayer in Seville,Ph.D.,2007,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"McGARRY, Rachel Louise","The Young Guido Reni: The Artist in Bologna and Rome, 1575-1605",Ph.D.,2007,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"SHEAN, Julie",Models of Virtue: Images and Saint-Making in Colonial Puebla (1640-1800),Ph.D.,2007,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,Latin American Art,,
"BANNER, Lisa",The Religious Patronage of the Duke of Lerma,Ph.D.,2006,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"PROKOP, Ellen",Fray Juan Andrés Ricci and the Commissions at San Millán de la Cogolla and the Cathedral of Burgos,Ph.D.,2006,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"SENOS, Nuno",Franciscan Art and Architecture in Colonial Brazil (1650-1800),Ph.D.,2006,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,Latin American Art,,
"SANABRAIS, Sofia",The Biombo or Folding Screen: Examining the Impact of Japan on Artistic Production and the Globalization of Taste in Seventeenth-Century New Spain,Ph.D.,2005,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,East Asian Art,,
"SCHRADER, Jeffrey",The Virgin of Atocha and Spanish Habsburg Devotion to Miraculous Images,Ph.D.,2003,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"GOODMAN, Eleanor Hope","Royal piety: faith, religious politics, and the experience of art at the Convent of the Descalzas Reales in Madrid",Ph.D.,2001,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"ROTMIL, Lisa Anne",The Artistic Patronage of Anne of Austria (1601-1666): Image - Making at the French Court,Ph.D.,2000,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"ALCALA, Luisa Elena","The Jesuits and the visual arts in New Spain, 1670-1767",Ph.D.,1998,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"VERGARA, W. Alexander",The Presence of Rubens in Spain,Ph.D.,1994,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"LENAGHAN, Patrick",The Arrival of the Italian Renaissance in Spain: The Tombs by Domenico Fancelli and Bartolomé Ordóñez,Ph.D.,1993,"Jonathan, Brown",,Renaissance Art,,,
"CIOFFI, Irene",Corrado Giaquinto at the Spanish Court 1753-1762: The Fresco Cycles at the New Royal Palace in Madrid,Ph.D.,1992,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"SCHROTH, Sarah",The Private Picture Collection of the Duke of Lerma,Ph.D.,1990,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"CARR, Dawson W.",Luca Giordano at the Escorial: The Frescoes for Charles II,Ph.D.,1987,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"BURKE, Marcus B.",Private Collections of Italian Art in Seventeenth-century Spain,Ph.D.,1984,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,Collecting; Curatorial and Museum Studies,,
"STRATTON, Suzanne",The Immaculate Conception in Spanish Renaissance and Baroque Art,Ph.D.,1983,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"MANN, Richard G.",El Greco's Altarpieces: Three Representative Commissions,Ph.D.,1982,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,Renaissance Art,,
"JONES, Leslie",The Paintings of Giovanni Battista Piazzetta,Ph.D.,1981,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"BARGHAHN, Barbara von",The Pictorial Decoration of the Buen Retiro Palace During the Reign of Philip IV,Ph.D.,1979,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"SULLIVAN, Edward J.",Claudio Coello and Late Baroque Painting in Madrid,Ph.D.,1979,"Jonathan, Brown",,Seventeenth- and Eighteenth-Century Art,,,
"KARL, Adolph Joseph",The New York Realists,Ph.D.,1953,"Milton, Brown",,Nineteenth- and Twentieth-Century Art,,,
"NELSON, Robert S.","Text and Image in a Byzantine Gospel Book in Istanbul (Ecumenical Patriarchate, cod. 3)",Ph.D.,1978,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SCHWARTZ, Ellen C.",The Original Fresco Decoration in the Church of the Holy Apostles in the Patriarchate of Pec,Ph.D.,1978,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MARK-WEINER, Temily",Narrative Cycles of the Life of St. George in Byzantine Art,Ph.D.,1977,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
