Name,Date,La,Lo,Place,Notes
Beryl Korot,2011,39.946121,-75.151627,Locks Gallery,"""Alterations,"" curated by Peter Campus"
Beryl Korot,2011,40.738178,-73.998861,Pratt Manhattan Gallery,"Independent Curators International, Project 35"
Beryl Korot,2009,41.38306,2.16746,Barcelona Art Contemporary Festiva,"Group exhibition, ""Indomitable Women"""
Beryl Korot,2009,42.826771,-75.544258,Colgate University,"Group exhibition, ""Flaherty Seminar"""
Beryl Korot,2009,42.1333,-0.42571,Centro de Arte y Naturaleza (CDAN),"Group exhibition, ""Los tiempos de un lugar"""
Beryl Korot,2008,49.001282,8.38306,"ZKM, Karlsruhe, Germany","Group show, ""Medium Religion"""
Beryl Korot,2008,40.719022,-74.004432,"Apex Gallery, New York","Group show, ""Building the Unthinkable"""
Beryl Korot,2006,40.768702,-73.964876,Bertha and Karl Leubsdorf Gallery,"Group exhibition, ""The Early Show"""
Beryl Korot,2005,52.523369,13.38772,Art Center Berlin,"Group exhibition, ""B4PLAY. Three Tales"""
Beryl Korot,2005,35.859206,127.771023,Multi-site exhibition,
Beryl Korot,2005,40.7142,-74.0064,Metropolitan Museum of Art,"Group exhibition, ""Three Tales"""
Beryl Korot,2003,40.761418,-73.977757,Museum of Modern Art,"Documentary Fortnight, ""Three Tales"""
Beryl Korot,2002,40.773343,-73.963598,Whitney Museum of American Art,"Group exhibition, ""Into the Light"""
Beryl Korot,2000,40.773343,-73.963598,Whitney Museum of American Art,"Group exhibition, ""The American Century, Part 2"""
Beryl Korot,2000,50.110321,8.68357,Historisches Museum and Schirn Kunsthalle,"Group exhibition, ""The Memory of Art"""
Beryl Korot,1999,42.3363,-71.100403,Massachusetts College of Art,"Group exhibition, ""Transmissions"""
Beryl Korot,1995,48.404572,-89.263863,Thunder Bay Art Gallery,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"" Tour includes: Thunder Bay Art Gallery, Ontario, Canada"
Beryl Korot,1994,38.900421,-77.028831,National Museum of Women in the Arts,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,40.358398,-75.909897,"Freedman Gallery, Albright College","Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,44.85553,-63.19883,"University Gallery, Mount Saint Vincent University, Halifax, Canada","Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,50.425831,-104.616142,Mackenzie Art Gallery,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,53.545071,-113.488518,The Edmonton Art Gallery,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,33.763779,-118.164726,Long Beach Museum of Art,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1994,41.686909,-73.89695,Frances Lehman Loeb Art Center,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1993,45.559134,-73.726513,Musee dêArt Contemporain,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1993,42.393101,-72.526703,"University Gallery, University of Massachusetts ","Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1993,40.000561,-83.008186,Wexner Center for the Arts,"Independent Curators International, ""The First Generation of Women in Video, 1970-1975"""
Beryl Korot,1990,40.44371,-79.949142,Carnegie Museum of Art,"""Points of Departure: Origins in Video"" Peter Campus, Beryl Korot, Bruce Nauman, William Wegman "
Beryl Korot,1989,50.935219,6.95048,Kolnischer Kunstverein,"Group show, ""Video Skulptur"""
Beryl Korot,1989,52.49889,13.389855,Neuen Berliner Kunstverein,"Group show, ""Video Skulptur"""
Beryl Korot,1989,47.370731,8.5483,Kunsthaus,"Group show, ""Video Skulptur"""
Beryl Korot,1988,33.771076,-118.189468,Long Beach Museum,"""Planes of Memory: Peter Campus, Beryl Korot, Bruce Nauman"""
Beryl Korot,1988,40.785372,-73.957582,"Jewish Museum, New York","Group exhibition, ""Memory and Identity"""
Beryl Korot,1987,40.7746,-73.964485,Jack Tilton Gallery,"Group exhibition, ""Summer Show"""
Beryl Korot,1980,37.78606,-122.40036,San Francisco Art Institute,"""Kos, Burden, Korot"""
Beryl Korot,1980,47.218115,-1.553059,Musee des Beaux Arts,"""Yesterday and After"""
Beryl Korot,1979,52.37,4.89,Mickery Theater,
Beryl Korot,1978,40.7142,-74.0064,Museum of Modern Art,"""Video Viewpoints"" "
Beryl Korot,1977,51.312711,9.479746,Dokumenta 6,"""Dachau 1974"" "
Beryl Korot,1976,-23.5,-46.6167,Sao Paulo Biennial,"""Video Art USA"""
Beryl Korot,1975,50.937531,6.960279,Kolnischer Kunstverein,"""Radical Software"" "
Beryl Korot,1975,51.441642,5.469723,Stedlijk van Abbemuseum,"""Radical Software"""
Beryl Korot,1975,40.7733,-73.963598,Whitney Museum of American Art,"""Whitney Biennial"""
Beryl Korot,1975,39.9522,-75.1642,"Institute of Contemporary Arts, Philidelphia","""Video Art"""
Beryl Korot,1975,39.1619,-84.4569,"The Contemporary Arts Museum, Cincinnati","""Video Art"""
Beryl Korot,1975,41.85,-87.65,"The Contemporary Arts Museum, Chicago","""Video Art"""
Beryl Korot,1974,41.763711,-72.685093,Wadsworth Antheneum,"""Video Art"""
Beryl Korot,1974,50.937531,6.960279,Kolnischer Kunstverein,"""Project 74"" "
Beryl Korot,1974,38.895112,-77.036366,Kennedy Center,"""Art Now"""
Beryl Korot,1974,42.886447,-78.878369,Buffalo University Gallery,"""Women in Film and Video"" "
Beryl Korot,1973,42.358431,-71.059773,Boston Museum of Fine Arts,"""Circuit Invitational"""
Beryl Korot,1973,47.60621,-122.332071,Henry Gallery,"""Circuit Invitational"""
Beryl Korot,1973,34.052234,-118.243685,Los Angeles County Museum,"""Circuit Invitational"""
Beryl Korot,1973,42.567715,-83.251347,Cranbrook Academy of Art,"""Circuit Invitational"""
Beryl Korot,1973,43.044581,-76.146969,Everson Museum,"""Circuit Invitational"""
Beryl Korot,1973,41.084168,-81.514949,Akron Museum,"""Circuit Invitational"""
Beryl Korot,1973,34.856166,-82.40084,Greenville County Museum,"""Circuit Invitational"""
Beryl Korot,1972,40.776307,-73.964169,Finch College Museum,"""WomenÕs Video Festival"" "
Joan Jonas,1972,47.60621,-122.332071,And/Or,
Joan Jonas,1972,40.775008,-73.963708,Leo Castelli Gallery,
Joan Jonas,1972,51.312711,9.479746,"Documenta 5,",
Joan Jonas,1973,-23.548943,-46.638818,Biennial de Sao Paulo,
Joan Jonas,1974,43.771033,11.248001,Centro Di,
Joan Jonas,1974,46.519962,6.633597,Galerie Impact,
Joan Jonas,1974,38.895112,-77.036366,Art Now Ô74,
Joan Jonas,1975,51.507335,-0.127683,Serpentine Gallery,"""The Video Show"""
Joan Jonas,1975,34.052234,-118.243685,Woman Space,
